company,email,subject,body
10up,careers@10up.com,Internship inquiry - Computer Engineering graduate,"Hello 10up team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
37signals,careers@37signals.com,Internship inquiry - Computer Engineering graduate,"Hello 37signals team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
3Blocks,careers@3blocks.com,Internship inquiry - Computer Engineering graduate,"Hello 3Blocks team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
42 Technologies,hello@42technologies.com,Internship inquiry - Computer Engineering graduate,"Hello 42 Technologies team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
90 Seconds,careers@90seconds.com,Internship inquiry - Computer Engineering graduate,"Hello 90 Seconds team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
Abstract API,team@abstractapi.com,Internship inquiry - Computer Engineering graduate,"Hello Abstract API team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
Acquia,careers@acquia.com,Internship inquiry - Computer Engineering graduate,"Hello Acquia team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
Adzuna,careers@adzuna.com,Internship inquiry - Computer Engineering graduate,"Hello Adzuna team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
Akka,pr@akka.io,Internship inquiry - Computer Engineering graduate,"Hello Akka team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
ALICE,careers@alice.com,Internship inquiry - Computer Engineering graduate,"Hello ALICE team,

My name is Eyobel Zeleke Berie. I am a Computer Engineering graduate based in Ethiopia, and I am looking for an internship or junior opportunity where I can contribute, learn quickly, and grow with a strong engineering team.

My background includes Python, C/C++, Arduino, React, FastAPI, PostgreSQL, Spring Boot, RESTful APIs, with project experience across embedded AI, FastAPI backends, React dashboards, PostgreSQL, Spring Boot, and network engineering. I am especially interested in backend, full-stack, embedded AI, Python, or junior software engineering work.

I wanted to ask politely if your team has any internship openings, trainee roles, apprenticeship-style opportunities, or even an unpaid internship where I could prove myself through useful work. I would be grateful for the chance to contribute to a real project and learn from your engineers.

I can share my resume, portfolio, GitHub, or complete a small trial task if that helps.

Thank you for your time and consideration.

Best regards,
Eyobel Zeleke Berie"
